"county","tract","bg","cbsa","pop10","afact"
"County code","Tract","Block group","CBSA (current)","Population (2010)","bg to cbsa allocation factor"
"01015","0020.00","3","11500",1497,1 
"01015","0020.00","4","11500",1149,1 
"01015","0020.00","5","11500",1307,1 
"01015","0021.01","1","11500",1451,1 
"01015","0021.01","2","11500",2541,1 
"01015","0021.02","1","11500",1284,1 
"01015","0021.02","2","11500",1261,1 
"01015","0021.02","3","11500",866,1 
"01015","0021.03","1","11500",1714,1 
"01015","0021.03","2","11500",2921,1 
"01015","0021.03","3","11500",2166,1 
"01015","0022.00","1","11500",1114,1 
"01015","0022.00","2","11500",1138,1 
"01015","0022.00","3","11500",723,1 
"01015","0022.00","4","11500",677,1 
"01015","0023.00","1","11500",1268,1 
"01015","0023.00","2","11500",760,1 
"01015","0023.00","3","11500",1106,1 
"01015","0023.00","4","11500",709,1 
"01015","0024.00","1","11500",2482,1 
"01015","0024.00","2","11500",2036,1 
"01015","0025.01","1","11500",855,1 
"01015","0025.01","2","11500",1614,1 
"01015","0025.01","3","11500",2960,1 
"01015","0025.01","4","11500",1640,1 
"01015","0025.02","1","11500",1050,1 
"01015","0025.02","2","11500",944,1 
"01015","0025.02","3","11500",2086,1 
"01015","0025.02","4","11500",581,1 
"01015","0026.00","1","11500",2095,1 
"01015","0026.00","2","11500",1605,1 
"01015","0026.00","3","11500",915,1 
"01015","9819.01","1","11500",6,1 
"01015","9819.02","1","11500",5,1 
"01017","9538.00","1","46740",1409,1 
"01017","9538.00","2","46740",1540,1 
"01017","9538.00","3","46740",670,1 
"01017","9539.00","1","46740",862,1 
"01017","9539.00","2","46740",538,1 
"01017","9539.00","3","46740",808,1 
"01017","9539.00","4","46740",692,1 
"01017","9540.00","1","46740",1094,1 
"01017","9540.00","2","46740",1018,1 
"01017","9540.00","3","46740",986,1 
"01017","9540.00","4","46740",1326,1 
"01017","9540.00","5","46740",1003,1 
"01017","9540.00","6","46740",1242,1 
"01017","9542.00","1","46740",1185,1 
"01017","9542.00","2","46740",617,1 
"01017","9542.00","3","46740",1455,1 
"01017","9543.00","1","46740",949,1 
"01017","9543.00","2","46740",904,1 
"01017","9543.00","3","46740",605,1 
"01017","9543.00","4","46740",1303,1 
"01017","9543.00","5","46740",947,1 
"01017","9544.00","1","46740",995,1 
"01017","9545.00","1","46740",1142,1 
"01017","9545.00","2","46740",1069,1 
"01017","9545.00","3","46740",830,1 
"01017","9545.00","4","46740",763,1 
"01017","9546.00","1","46740",899,1 
